OSNR,BER
0.000000000000000000e+00,3.804928124999999994e-01
2.000000000000000000e+00,3.489715624999999988e-01
4.000000000000000000e+00,3.131031249999999821e-01
6.000000000000000000e+00,2.726956249999999415e-01
8.000000000000000000e+00,2.284271874999999896e-01
1.000000000000000000e+01,1.792621874999999754e-01
1.200000000000000000e+01,1.268859374999999901e-01
1.400000000000000000e+01,7.814156249999999748e-02
1.600000000000000000e+01,3.803999999999999743e-02
1.800000000000000000e+01,1.317687499999999935e-02
2.000000000000000000e+01,2.755937500000000574e-03
2.200000000000000000e+01,2.374999999999999724e-04
2.400000000000000000e+01,9.374999999999999179e-07
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
