OSNR,BER
0.000000000000000000e+00,2.866353125000000168e-01
2.000000000000000000e+00,2.371974999999999778e-01
4.000000000000000000e+00,1.880000000000000004e-01
6.000000000000000000e+00,1.413740625000000084e-01
8.000000000000000000e+00,9.831000000000000849e-02
1.000000000000000000e+01,5.902031250000000506e-02
1.200000000000000000e+01,2.800437499999999455e-02
1.400000000000000000e+01,9.350000000000000672e-03
1.600000000000000000e+01,1.758750000000000330e-03
1.800000000000000000e+01,1.506250000000000156e-04
2.000000000000000000e+01,3.125000000000000150e-06
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
