OSNR,BER
0.000000000000000000e+00,3.306010416666667062e-01
2.000000000000000000e+00,2.826620833333333138e-01
4.000000000000000000e+00,2.255595000000000239e-01
6.000000000000000000e+00,1.627404583333333377e-01
8.000000000000000000e+00,1.014906250000000010e-01
1.000000000000000000e+01,5.058791666666666298e-02
1.200000000000000000e+01,1.818550000000000028e-02
1.400000000000000000e+01,3.897083333333333996e-03
1.600000000000000000e+01,3.787916666666666537e-04
1.800000000000000000e+01,9.624999999999998479e-06
2.000000000000000000e+01,1.249999999999999943e-07
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
