OSNR,BER
0.000000000000000000e+00,3.326388333333333280e-01
2.000000000000000000e+00,3.068234583333332988e-01
4.000000000000000000e+00,2.766103750000000194e-01
6.000000000000000000e+00,2.414616666666666855e-01
8.000000000000000000e+00,1.991527083333333448e-01
1.000000000000000000e+01,1.503277916666666547e-01
1.200000000000000000e+01,1.004282499999999967e-01
1.400000000000000000e+01,5.584616666666666895e-02
1.600000000000000000e+01,2.366116666666666368e-02
1.800000000000000000e+01,6.501041666666667121e-03
2.000000000000000000e+01,9.240416666666666527e-04
2.200000000000000000e+01,4.787499999999999818e-05
2.400000000000000000e+01,4.583333333333333214e-07
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
