OSNR,BER
0.000000000000000000e+00,2.565408749999999460e-01
2.000000000000000000e+00,2.106775625000000263e-01
4.000000000000000000e+00,1.575470625000000291e-01
6.000000000000000000e+00,1.034854374999999854e-01
8.000000000000000000e+00,5.608493750000000111e-02
1.000000000000000000e+01,2.263793750000000007e-02
1.200000000000000000e+01,5.905312500000000839e-03
1.400000000000000000e+01,7.566875000000000901e-04
1.600000000000000000e+01,3.812499999999999158e-05
1.800000000000000000e+01,1.249999999999999943e-07
2.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
