OSNR,BER
0.000000000000000000e+00,7.846987500000000837e-02
2.000000000000000000e+00,3.754987499999999645e-02
4.000000000000000000e+00,1.251050000000000252e-02
6.000000000000000000e+00,2.450375000000000296e-03
8.000000000000000000e+00,1.886249999999999906e-04
1.000000000000000000e+01,4.874999999999999912e-06
1.200000000000000000e+01,0.000000000000000000e+00
1.400000000000000000e+01,0.000000000000000000e+00
1.600000000000000000e+01,0.000000000000000000e+00
1.800000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,0.000000000000000000e+00
2.200000000000000000e+01,0.000000000000000000e+00
2.400000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
